ID,name,SMILES,mz_ratio,exp_ccs,Formula,Adduct
LIPMETLIN00003,anteiso 15:0 fatty acid,CC[C@H](C)CCCCCCCCCCC(O)=O,241.217292,166.8333333,C15H30O2,[M-H]-
LIPMETLIN00004,iso 15:0 fatty acid,OC(CCCCCCCCCCCC(C)C)=O,241.217292,165.4666667,C15H30O2,[M-H]-
LIPMETLIN00006,3R-hydroxymyristic acid,OC(C[C@H](O)CCCCCCCCCCC)=O,243.1965578,169.8,C14H28O3,[M-H]-
LIPMETLIN00007,Palmitic acid (15-yne),OC(=O)CCCCCCCCCCCCCC#C,251.2016428,166.7666667,C16H28O2,[M-H]-
LIPMETLIN00008,17:0 cyclo acid,OC(CCCCCCCC1C(C1)CCCCCC)=O,267.2329412,172.5,C17H32O2,[M-H]-
LIPMETLIN00010,06:0 Lyso PA,O[C@](COP(O)(O)=O)([H])COC(CCCCC)=O,269.0795594,162.5,C9H19O7P,[M-H]-
LIPMETLIN00020,13(S)HODE,C(C/C=C\C=C\[C@H](CCCCC)O)CCCCCC(=O)O,295.2278562,179.8333333,C18H32O3,[M-H]-
LIPMETLIN00023,2-OHOA,OC(C(O)=O)CCCCCC/C=C\CCCCCCCC,297.2435054,179.2333333,C18H34O3,[M-H]-
LIPMETLIN00024,arachidonic acid-alkyne,OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCC#C)=O,299.2016428,180.6,C20H28O2,[M-H]-
LIPMETLIN00027,DPH-propionic acid,OC(CCC(C=C1)=CC=C1/C=C/C=C/C=C/C2=CC=CC=C2)=O,303.139046,201.8666667,C21H20O2,[M-H]-
LIPMETLIN00029,N-tetradecanoyl-L-homoserine lactone,O=C(CCCCCCCCCCCCC)N[C@H]1CCOC1=O,310.2387548,184.3666667,C18H33NO3,[M-H]-
LIPMETLIN00031,N-palmitoylglycine,CCCCCCCCCCCCCCCC(=O)NCC(=O)O,312.254404,185.4666667,C18H35NO3,[M-H]-
LIPMETLIN00038,14(15) EET,OC(CCC/C=C\C/C=C\C/C=C\CC(O1)C1CCCCC)=O,319.2278562,183.7333333,C20H32O3,[M-H]-
LIPMETLIN00039,15(S)-HETE,C(=C\C/C=C\C/C=C\C=C\[C@H](CCCCC)O)\CCCC(=O)O,319.2278562,186.3,C20H32O3,[M-H]-
LIPMETLIN00041,Oleic Acid (18-azido),OC(CCCCCCC/C=C\CCCCCCCCN=[N+]=[N-])=O,322.2499878,184.8,C18H33N3O2,[M-H]-
LIPMETLIN00042,Farnesyl-L-cysteine,C/C(C)=C/CC/C(C)=C/CC/C(C)=C/CSC[C@H](N)C(O)=O,324.2002626,184.4,C18H31NO2S,[M-H]-
LIPMETLIN00044,C2 Ceramide (d17:1/2:0),OC[C@@H]([C@@H](/C=C/CCCCCCCCCCCC)O)NC(=O)C,326.2700532,189.47,C19H37NO3,[M-H]-
LIPMETLIN00056,N-16:0 L-Serine,O=C(O)[C@@]([H])(NC(CCCCCCCCCCCCCCC)=O)CO,342.2649682,191.9,C19H37NO4,[M-H]-
LIPMETLIN00057,C2 Dihydroceramide (d18:0/2:0),CCCCCCCCCCCCCCC[C@H]([C@@H](NC(=O)C)CO)O,342.3013516,195.5666667,C20H41NO3,[M-H]-
LIPMETLIN00059,17(S)-HDHA,CC/C=C\C[C@@H](O)/C=C/C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,343.2278562,192,C22H32O3,[M-H]-
LIPMETLIN00064,(15R)-PGE2,"C1([C@@H]([C@H]([C@@H](C1)O)\C=C\[C@@H](CCCCC)O)C\C=C/CCCC(O)=O)=O	LMFA03010094",351.2176862,189,C20H32O5,[M-H]-
LIPMETLIN00065,15-keto PGF2a,CCCCCC(=O)/C=C/C1C(C/C=CCCCC(=O)O)[C@H](C[C@H]1O)O,351.2176862,187.9666667,C20H32O5,[M-H]-
LIPMETLIN00066,PGE2,[C@H]1([C@H]([C@@H](CC1=O)O)/C=C/[C@H](CCCCC)O)C/C=C\CCCC(=O)O,351.2176862,187.9333333,C20H32O5,[M-H]-
LIPMETLIN00068,15-beta PGF2a,CCCCC[C@@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(O)=O)[C@@H](O)C[C@H]1O,353.2333354,191.6333333,C20H34O5,[M-H]-
LIPMETLIN00069,PGE1,[C@H]1([C@H]([C@@H](CC1=O)O)/C=C/[C@H](CCCCC)O)CCCCCCC(=O)O,353.2333354,190.5666667,C20H34O5,[M-H]-
LIPMETLIN00070,PGF2b,[C@H]1([C@H]([C@@H](C[C@H]1O)O)/C=C/[C@H](CCCCC)O)C/C=C\CCCC(=O)O,353.2333354,189.9,C20H34O5,[M-H]-
LIPMETLIN00073,PGF1a,[C@H]1([C@H]([C@@H](C[C@@H]1O)O)/C=C/[C@H](CCCCC)O)CCCCCCC(=O)O,355.2489846,195.5666667,C20H36O5,[M-H]-
LIPMETLIN00077,N-02:0 Phytosphingosine,O[C@@H]([C@H]([C@H](CO)NC(=O)C)O)CCCCCCCCCCCCCC,358.2962666,198.6666667,C20H41NO4,[M-H]-
LIPMETLIN00079,Sphingosine-1-Phosphate (d17:1),CCCCCCCCCCCC/C=C/[C@@]([H])(O)[C@]([NH3+])([H])COP([O-])(O)=O,364.2258216,192.2,C17H36NO5P,[M-H]-
LIPMETLIN00080,sphinganine-1-phosphate (d17:0),C([C@@H]([C@@H](CCCCCCCCCCCCCC)O)[NH3+])OP(=O)([O-])O,366.2414708,191.3333333,C17H38NO5P,[M-H]-
LIPMETLIN00081,06:0 PA,O=C(CCCCC)OC[C@]([H])(COP(O)(O)=O)OC(CCCCC)=O,367.1527204,191.4,C15H29O8P,[M-H]-
LIPMETLIN00084,N-18:1 L-Serine,O=C(O)[C@@]([H])(NC(CCCCCCC/C=C\CCCCCCCC)=O)CO,368.2806174,199.5666667,C21H39NO4,[M-H]-
LIPMETLIN00085,C4 Ceramide (d18:1/4:0),OC[C@@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)NC(=O)CCC,368.3170008,201.2666667,C22H43NO3,[M-H]-
LIPMETLIN00086,N-palmitoyl homocysteine (PHC),OC(C(NC(CCCCCCCCCCCCCCC)=O)CCS)=O,372.2577744,198.2,C20H39NO3S,[M-H]-
LIPMETLIN00087,Dehydrolithocholic acid,[C@H]12[C@H]3[C@@H]([C@@]4([C@H](CC3)CC(=O)CC4)C)CC[C@@]1([C@H](CC2)[C@@H](CCC(=O)O)C)C,373.2748038,205.87,C24H38O3,[M-H]-
LIPMETLIN00088,Alloisolithocholic acid,C[C@@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]3[C@H]2CC[C@@H]4[C@]3(C)CC[C@H](O)C4)CCC(O)=O,375.290453,208.0666667,C24H40O3,[M-H]-
LIPMETLIN00089,Isolithocholic acid,OC(CC[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C)=O,375.290453,208.37,C24H40O3,[M-H]-
LIPMETLIN00090,C16 Cyclic LPA,O=P1(O)O[C@H](COCCCCCCCCCCCCCCCC)CO1,377.2462214,194.2333333,C19H39O5P,[M-H]-
LIPMETLIN00091,Nordeoxycholic acid,[H][C@@]12[C@]([C@](CC[C@@H](O)C3)(C)[C@]3([H])CC2)([H])C[C@H](O)[C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CC(O)=O,377.2697188,199.2,C23H38O4,[M-H]-
LIPMETLIN00093,Sphingosine-1-Phosphate (d18:1),C(=C\CCCCCCCCCCCCC)/[C@H]([C@H](COP(=O)(O)O)N)O,378.2414708,197.0666667,C18H38NO5P,[M-H]-
LIPMETLIN00095,Sphinganine-1-Phosphate (d18:0),[C@H]([C@@H](CCCCCCCCCCCCCCC)O)(N)COP(=O)(O)O,380.25712,195.1333333,C18H40NO5P,[M-H]-
LIPMETLIN00096,14:0 Lyso PA,O=C(CCCCCCCCCCCCC)OC[C@]([H])(COP(O)(O)=O)O,381.204753,192.9333333,C17H35O7P,[M-H]-
LIPMETLIN00097,BMP22,c1(CCCCCCCCCCCCCCC)ccc(cc1)CP(=O)(O)O,381.2563914,198.4,C22H39O3P,[M-H]-
LIPMETLIN00102,5-DOXYL Stearic acid,OC(CCCC1(N([O])C(C)(C)CO1)CCCCCCCCCCCCC)=O,383.3040912,205,C22H42NO4,[M-H]-
LIPMETLIN00108,3á-OH-7-oxocholenic acid,C[C@@]1([C@@]2([H])CC[C@]1([H])[C@@](C)([H])CCC(O)=O)CC[C@@]3([H])[C@@]2([H])C(C=C4C[C@@H](O)CC[C@@]43C)=O,387.2540696,206.8,C24H36O4,[M-H]-
LIPMETLIN00109,Regadenoson,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(nc2N)n1ncc(c1)C(=O)NC,389.1327338,195.2,C15H18N8O5,[M-H]-
LIPMETLIN00111,3-oxo chenodeoxycholic acid,[H][C@@]12[C@]([C@](CCC(C3)=O)(C)[C@]3([H])C[C@H]2O)([H])CC[C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CCC(O)=O,389.2697188,206.7333333,C24H38O4,[M-H]-
LIPMETLIN00112,3-oxo deoxycholic acid,C[C@@]1([C@@]2([H])CC[C@]1([H])[C@@](C)([H])CCC(O)=O)[C@@H](O)C[C@@]3([H])[C@@]2([H])CC[C@]4([H])CC(CC[C@@]43C)=O,389.2697188,199.2,C24H38O4,[M-H]-
LIPMETLIN00114,Apocholic acid,O[C@@H]1[C@@]([C@@H]([C@H](C)CCC(O)=O)CC2)(C)C2=C3[C@H](C1)[C@](CC[C@H]4O)(C)[C@@H](C4)CC3,389.2697188,202.7666667,C24H38O4,[M-H]-
LIPMETLIN00115,N-20:4 L-Serine (ARA-S),O=C(O)[C@@]([H])(NC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)CO,390.2649682,199.6666667,C23H37NO4,[M-H]-
LIPMETLIN00116,16:0 Cyclic LPA,O=C(CCCCCCCCCCCCCCC)OC[C@@]1([H])OP(OC1)(O)=O,391.2254872,196.1666667,C19H37O6P,[M-H]-
LIPMETLIN00117,Chenodeoxycholic acid,[C@H]12[C@H]3[C@@H]([C@@]4([C@H](C[C@H]3O)C[C@@H](CC4)O)C)CC[C@@]1([C@H](CC2)[C@@H](CCC(=O)O)C)C,391.285368,209.6666667,C24H40O4,[M-H]-
LIPMETLIN00118,Hyodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C[C@@H]([C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)O)O,391.285368,210.4666667,C24H40O4,[M-H]-
LIPMETLIN00119,Isodeoxycholic acid,C[C@@]1([C@@]2([H])CC[C@]1([H])[C@@](C)([H])CCC(O)=O)[C@@H](O)C[C@@]3([H])[C@@]2([H])[C@H](O)C[C@]4([H])CCCC[C@@]43C,391.285368,200.5666667,C24H40O4,[M-H]-
LIPMETLIN00120,Murideoxycholic acid,C[C@@]1([C@@]2([H])CC[C@]1([H])[C@@](C)([H])CCC(O)=O)CC[C@@]3([H])[C@@]2([H])C[C@@H](O)[C@]4([H])C[C@H](O)CC[C@@]43C,391.285368,210.5666667,C24H40O4,[M-H]-
LIPMETLIN00122,C17:0 anandamide phosphate,O=C(CCCCCCCCCCCCCCCC)NCCOP(O)(O)=O,392.25712,198.9,C19H40NO5P,[M-H]-
LIPMETLIN00125,C16 LPA,[H][C@](O)(COP(O)(O)=O)COCCCCCCCCCCCCCCCC,395.2567856,199,C19H41O6P,[M-H]-
LIPMETLIN00128,D-ribo-Phytosphingosine-1-Phosphate,O[C@]([H])(CCCCCCCCCCCCCC)[C@](O)([H])[C@]([NH3+])([H])COP([O-])(O)=O,396.252035,199.0666667,C18H40NO6P,[M-H]-
LIPMETLIN00132,C6 Dihydroceramide (d18:0/6:0),OC[C@]([H])(NC(CCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC,398.3639484,211.1333333,C24H49NO3,[M-H]-
LIPMETLIN00149,C18:2 anandamide phosphate,N(CCOP(=O)(O)O)C(=O)CCCCCCC/C=C\C/C=C\CCCCC,402.2414708,196.87,C20H38NO5P,[M-H]-
LIPMETLIN00150,"6,7-diketolithocholic acid",[H][C@@]12[C@]([C@](CC[C@@H](O)C3)(C)[C@]3([H])C(C2=O)=O)([H])CC[C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CCC(O)=O,403.2489846,208.4,C24H36O5,[M-H]-
LIPMETLIN00151,Dioxolithocholic acid,[H][C@@]12[C@]([C@](CC[C@@H](O)C3)(C)[C@]3([H])CC2=O)([H])CC([C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CCC(O)=O)=O,403.2489846,206.1,C24H36O5,[M-H]-
LIPMETLIN00152,C18:1 Cyclic LPA,CCCCCCCC/C=C\CCCCCCCCOC[C@@H]1COP(O1)(O)=O,403.2618706,199.9,C21H41O5P,[M-H]-
LIPMETLIN00154,17:0 Cyclic LPA,O=P1(O)O[C@H](COC(CCCCCCCCCCCCCCCC)=O)CO1,405.2411364,200.4,C20H39O6P,[M-H]-
LIPMETLIN00156,3-oxocholic acid,[C@@H]12[C@H](C[C@H]([C@]3([C@H]1CC[C@@H]3[C@@H](CCC(=O)O)C)C)O)[C@@]1([C@H](C[C@H]2O)CC(=O)CC1)C,405.2646338,201.0333333,C24H38O5,[M-H]-
LIPMETLIN00157,7-Ketodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@@H]([C@]12C)O)[C@@]1(C)CC[C@H](C[C@H]1CC3=O)O,405.2646338,203.7666667,C24H38O5,[M-H]-
LIPMETLIN00158,Dimethyl Sphingosine-1-Phosphate (d18:1),OP(O)(OC[C@@](N(C)C)([H])[C@]([H])(O)/C=C/CCCCCCCCCCCCC)=O,406.2727692,204,C20H42NO5P,[M-H]-
